PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,ageUnknown,cabinUnknown,hasNickname,hasTitle,A_Deck,B_Deck,C_Deck,D_Deck,E_Deck,F_Deck,G_Deck,Embarked_C,Embarked_Q,Embarked_S,isMale,isChild,isAdult,upperClassChild
1,0,3,22.0,1,0,7.25,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
2,1,1,38.0,1,0,71.2833,False,False,False,False,False,False,True,False,False,False,False,1.0,0.0,0.0,False,False,True,False
3,1,3,26.0,0,0,7.925,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
4,1,1,35.0,1,0,53.1,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,1.0,False,False,True,False
5,0,3,35.0,0,0,8.05,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
6,0,3,32.368090452261306,0,0,8.4583,True,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,True,False,True,False
7,0,1,54.0,0,0,51.8625,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,1.0,True,False,True,False
8,0,3,2.0,3,1,21.075,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,True,False,False
9,1,3,27.0,0,2,11.1333,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
10,1,2,14.0,1,0,30.0708,False,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,False,False,False,False
11,1,3,4.0,1,1,16.7,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,False,True,False,False
12,1,1,58.0,0,0,26.55,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,1.0,False,False,True,False
13,0,3,20.0,0,0,8.05,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
14,0,3,39.0,1,5,31.275,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
15,0,3,14.0,0,0,7.8542,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,False,False
16,1,2,55.0,0,0,16.0,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
17,0,3,2.0,4,1,29.125,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,True,True,False,False
18,1,2,32.368090452261306,0,0,13.0,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
19,0,3,31.0,1,0,18.0,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
20,1,3,35.898148148148145,0,0,7.225,True,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,False,False,True,False
21,0,2,35.0,0,0,26.0,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
22,1,2,34.0,0,0,13.0,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,1.0,True,False,True,False
23,1,3,15.0,0,0,8.0292,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,0.0,False,False,False,False
24,1,1,28.0,0,0,35.5,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
25,0,3,8.0,3,1,21.075,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,True,False,False
26,1,3,38.0,1,5,31.3875,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
27,0,3,32.368090452261306,0,0,7.225,True,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,True,False,True,False
28,0,1,19.0,3,2,263.0,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,1.0,True,False,True,False
29,1,3,21.773972602739725,0,0,7.8792,True,True,True,False,False,False,False,False,False,False,False,0.0,1.0,0.0,False,False,True,False
30,0,3,32.368090452261306,0,0,7.8958,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
31,0,1,40.0,0,0,27.7208,False,True,False,True,False,False,False,False,False,False,False,1.0,0.0,0.0,True,False,True,False
32,1,1,35.898148148148145,1,0,146.5208,True,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,False,False,True,False
33,1,3,21.773972602739725,0,0,7.75,True,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,False,False,True,False
34,0,2,66.0,0,0,10.5,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
35,0,1,28.0,1,0,82.1708,False,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,True,False,True,False
36,0,1,42.0,1,0,52.0,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
37,1,3,32.368090452261306,0,0,7.2292,True,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,True,False,True,False
38,0,3,21.0,0,0,8.05,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
39,0,3,18.0,2,0,18.0,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
40,1,3,14.0,1,0,11.2417,False,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,False,False,False,False
41,0,3,40.0,1,0,9.475,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
42,0,2,27.0,1,0,21.0,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
43,0,3,32.368090452261306,0,0,7.8958,True,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,True,False,True,False
44,1,2,3.0,1,2,41.5792,False,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,False,True,False,True
45,1,3,19.0,0,0,7.8792,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,False,False,True,False
46,0,3,32.368090452261306,0,0,8.05,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
47,0,3,32.368090452261306,1,0,15.5,True,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,True,False,True,False
48,1,3,21.773972602739725,0,0,7.75,True,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,False,False,True,False
49,0,3,32.368090452261306,2,0,21.6792,True,True,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,True,False,True,False
50,0,3,18.0,1,0,17.8,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,False,False,True,False
51,0,3,7.0,4,1,39.6875,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,True,False,False
52,0,3,21.0,0,0,7.8,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,1.0,True,False,True,False
